Lipid,FC,.y.,group1,group2,n1,n2,statistic,df,p,log10_p,signif,delabel
TG 44:0,0.2576587169357128,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-2.3984852874551943,3.8367027210691163,0.0772,1.1123826996642638,p>0.051,NA
TG 45:0,-0.685236272527875,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,3.040717428499319,2.679522067002018,0.0646,1.1897674820049158,p>0.051,NA
TG 45:1,0.8657060814200839,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-1.1668095656943578,3.76842896749223,0.312,0.5058454059815573,p>0.051,NA
TG 46:0,0.299779620360061,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-0.4590855353422343,3.920802199572914,0.67,0.17392519729917355,p>0.051,NA
TG 46:2,-0.02023536495300468,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.070742197730707,2.4090304893193184,0.949,0.022733787572707352,p>0.051,NA
TG 47:0,0.35002370366460483,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-1.2176200729878082,3.1368422489622674,0.307,0.5128616245228135,p>0.051,NA
TG 47:1,-0.048009398357852916,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.058498573361910465,2.831704604295333,0.957,0.01908806222315645,p>0.051,NA
TG 49:0,0.2443815880890373,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-0.9702929084607179,2.2467908990186976,0.424,0.37263414340726736,p>0.051,NA
TG 49:1,-0.18980731227069153,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.48469737414754044,2.7552684419807525,0.664,0.1778319206319825,p>0.051,NA
TG 52:1,-0.31974945226810086,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,1.269174660960636,3.5989800685474624,0.28,0.5528419686577808,p>0.051,NA
TG 52:3,0.00262100968540456,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-0.013969024283206724,3.0819624123816274,0.99,0.004364805402450088,p>0.051,NA
TG 52:4,-0.12978060015674972,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.5650091210464546,3.985817869946512,0.602,0.22040350874217546,p>0.051,NA
TG 53:2,0.1383484796960448,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,-0.281164694266745,2.3495722157199626,0.801,0.09636748391576232,p>0.051,NA
TG 54:1,-0.06235750047571417,signal,0.28 OsM,1.1 OsM + 1mM GB,3,3,0.19493054264795406,3.773310003160957,0.855,0.06803388527182737,p>0.051,NA
